Environmental package	Structured comment name	Package item	Definition	Requirement	Expected value	Value syntax	Occurrence	Position	Preferred unit
human-oral	host_genotype	host genotype	observed genotype	X	genotype	{text}	1	16	
human-oral	host_phenotype	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO	X	PATO	{term}	1	17	
human-oral	host_body_temp	host body temperature	core body temperature of the host when sample was collected	X	measurement value	{float} {unit}	1	18	degree Celsius
human-oral	host_body_mass_index	host body-mass index	body mass index, calculated as weight/(height)squared	X	measurement value	{float} {unit}	1	19	kilogram per square meter
human-oral	ihmc_ethnicity	IHMC ethnicity	ethnicity of the subject	X	IHMC code or free text	{integer|text}	1	20	
human-oral	host_occupation	host occupation	most frequent job performed by subject	X	IHMC code	{integer}	1	21	
human-oral	medic_hist_perform	medical history performed	whether full medical history was collected	X	true or false	{boolean}	1	22	
human-oral	host_pulse	host pulse	resting pulse, measured as beats per minute	X	measurement value	{float} {unit}	1	25	beats per minute
human-oral	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	26	
human-oral	samp_salinity	sample salinity	salinity of sample, i.e. measure of total salt concentration	X	measurement value	{float} {unit}	1	27	practical salinity unit, percentage
human-oral	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	28	
human-oral	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	29	degree Celsius
human-oral	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	30	number of organism per cubic meter
human-oral	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	31	millliter, gram, milligram
human-oral	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	32	degree Celsius
human-oral	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	33	
human-oral	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	34	
human-oral	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	35	
human-skin	dermatology_disord	dermatology disorder	history of dermatology disorders; can include multiple disorders	X	disorder name	{text}	m	1	
human-skin	time_since_last_wash	time since last wash	specification of the time since last wash	X	timestamp	{timestamp}	1	2	
human-skin	dominant_hand	dominant hand	dominant hand of the subject	X	enumeration	[left|right|ambidextrous]	1	3	
human-skin	host_subject_id	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	X	unique identifier	{text}	1	4	
human-skin	host_age	host age	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	value	{float} {unit}	1	5	year, day, hour
human-skin	host_sex	host sex	physical sex of the host	X	enumeration	[male|female|neuter|hermaphrodite|not determined]	1	6	
human-skin	host_disease_stat	host disease status	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text	X	disease name or DO	{term}	m	7	
human-skin	ihmc_medication_code	IHMC medication code	can include multiple medication codes	X	IHMC code	{integer}	m	8	
human-skin	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	9	
human-skin	host_body_site	host body site	name of body site where the sample was obtained from, such as a specific organ or tissue (tongue, lung etc...). For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA	X	FMA	{term}	1	10	
human-skin	host_body_product	host body product	substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA	X	FMA	{term}	1	11	
human-skin	host_tot_mass	host total mass	total mass of the host at collection, the unit depends on host	X	measurement value	{float} {unit}	1	12	kilogram, gram
human-skin	host_height	host height	the height of subject	X	measurement value	{float} {unit}	1	13	centimeter, millimeter, meter
human-skin	host_diet	host diet	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	X	diet type	{text}	m	14	
human-skin	host_last_meal	host last meal	content of last meal and time since feeding; can include multiple values	X	content;time interval	{text};{period}	m	15	
human-skin	host_family_relationship	host family relationship	relationships to other hosts in the same study; can include multiple relationships	X	relationship type;arbitrary identifier	{text};{text}	m	16	
human-skin	host_genotype	host genotype	observed genotype	X	genotype	{text}	1	17	
human-skin	host_phenotype	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO	X	PATO	{term}	1	18	
human-skin	host_body_temp	host body temperature	core body temperature of the host when sample was collected	X	measurement value	{float} {unit}	1	19	degree Celsius
human-skin	host_body_mass_index	host body-mass index	body mass index, calculated as weight/(height)squared	X	measurement value	{float} {unit}	1	20	kilogram per square meter
human-skin	ihmc_ethnicity	IHMC ethnicity	ethnicity of the subject	X	IHMC code or free text	{integer|text}	1	21	
human-skin	host_occupation	host occupation	most frequent job performed by subject	X	IHMC code	{integer}	1	22	
human-skin	medic_hist_perform	medical history performed	whether full medical history was collected	X	true or false	{boolean}	1	23	
human-skin	host_pulse	host pulse	resting pulse, measured as beats per minute	X	measurement value	{float} {unit}	1	26	beats per minute
human-skin	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	27	
human-skin	samp_salinity	sample salinity	salinity of sample, i.e. measure of total salt concentration	X	measurement value	{float} {unit}	1	28	practical salinity unit, percentage
human-skin	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	29	
human-skin	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	30	degree Celsius
human-skin	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	31	number of organism per cubic meter
human-skin	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	32	millliter, gram, milligram
human-skin	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	33	degree Celsius
human-skin	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	34	
human-skin	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	35	
human-skin	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	36	
human-vaginal	menarche	menarche	date of most recent menstruation	X	timestamp	{timestamp}	1	1	
human-vaginal	sexual_act	sexual activity	current sexual partner and frequency of sex	X	partner sex;frequency	{text}	1	2	
human-vaginal	pregnancy	pregnancy	date due of pregnancy	X	timestamp	{timestamp}	1	3	
human-vaginal	douche	douche	date of most recent douche	X	timestamp	{timestamp}	1	4	
human-vaginal	birth_control	birth control	specification of birth control medication used	X	medication name	{text}	1	5	
human-vaginal	menopause	menopause	date of onset of menopause	X	timestamp	{timestamp}	1	6	
human-vaginal	hrt	HRT	whether subject had hormone replacement theraphy, and if yes start date	X	timestamp	{timestamp}	1	7	
human-vaginal	hysterectomy	hysterectomy	specification of whether hysterectomy was performed	X	hysterectomy status	{boolean}	1	8	
human-vaginal	gynecologic_disord	gynecological disorder	history of gynecological disorders; can include multiple disorders	X	gynecological disorder	{text}	m	9	
human-vaginal	urogenit_disord	urogenital disorder	history of urogenital disorders, can include multiple disorders	X	disorder name	{text}	m	10	
human-vaginal	host_subject_id	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	X	unique identifier	{text}	1	11	
human-vaginal	host_age	host age	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	value	{float} {unit}	1	12	year, day, hour
human-vaginal	host_sex	host sex	physical sex of the host	X	enumeration	[male|female|neuter|hermaphrodite|not determined]	1	13	
human-vaginal	host_disease_stat	host disease status	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text	X	disease name or DO	{term}	m	14	
human-vaginal	ihmc_medication_code	IHMC medication code	can include multiple medication codes	X	IHMC code	{integer}	m	15	
human-vaginal	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	16	
human-vaginal	host_body_site	host body site	name of body site where the sample was obtained from, such as a specific organ or tissue (tongue, lung etc...). For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA	X	FMA	{term}	1	17	
human-vaginal	host_body_product	host body product	substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA	X	FMA	{term}	1	18	
human-vaginal	host_tot_mass	host total mass	total mass of the host at collection, the unit depends on host	X	measurement value	{float} {unit}	1	19	kilogram, gram
human-vaginal	host_height	host height	the height of subject	X	measurement value	{float} {unit}	1	20	centimeter, millimeter, meter
human-vaginal	host_diet	host diet	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	X	diet type	{text}	m	21	
human-vaginal	host_last_meal	host last meal	content of last meal and time since feeding; can include multiple values	X	content;time interval	{text};{period}	m	22	
human-vaginal	host_family_relationship	host family relationship	relationships to other hosts in the same study; can include multiple relationships	X	relationship type;arbitrary identifier	{text};{text}	m	23	
human-vaginal	host_genotype	host genotype	observed genotype	X	genotype	{text}	1	24	
human-vaginal	host_phenotype	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO	X	PATO	{term}	1	25	
human-vaginal	host_body_temp	host body temperature	core body temperature of the host when sample was collected	X	measurement value	{float} {unit}	1	26	degree Celsius
human-vaginal	host_body_mass_index	host body-mass index	body mass index, calculated as weight/(height)squared	X	measurement value	{float} {unit}	1	27	kilogram per square meter
human-vaginal	ihmc_ethnicity	IHMC ethnicity	ethnicity of the subject	X	IHMC code or free text	{integer|text}	1	28	
human-vaginal	host_occupation	host occupation	most frequent job performed by subject	X	IHMC code	{integer}	1	29	
human-vaginal	medic_hist_perform	medical history performed	whether full medical history was collected	X	true or false	{boolean}	1	30	
human-vaginal	host_pulse	host pulse	resting pulse, measured as beats per minute	X	measurement value	{float} {unit}	1	33	beats per minute
human-vaginal	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	34	
human-vaginal	samp_salinity	sample salinity	salinity of sample, i.e. measure of total salt concentration	X	measurement value	{float} {unit}	1	35	practical salinity unit, percentage
human-vaginal	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	36	
human-vaginal	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	37	degree Celsius
human-vaginal	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	38	number of organism per cubic meter
human-vaginal	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	39	millliter, gram, milligram
human-vaginal	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	40	degree Celsius
human-vaginal	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	41	
human-vaginal	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	42	
human-vaginal	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	43	
microbial mat/biofilm	alt	altitude	the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air	C	measurement value	{float} m	1	0	meter
microbial mat/biofilm	depth	depth	depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples	M	measurement value	{float} m	1	0	
microbial mat/biofilm	elev	elevation	the elevation of the sampling site as measured by the vertical distance from mean sea level	M	measurement value	{float} {unit}	1	0	meter
microbial mat/biofilm	alkalinity	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	X	measurement value	{float} {unit}	1	1	milliequivalent per liter
microbial mat/biofilm	alkyl_diethers	alkyl diethers	concentration of alkyl diethers 	X	measurement value	{float} {unit}	1	1	mole per liter
microbial mat/biofilm	aminopept_act	aminopeptidase activity	measurement of aminopeptidase activity	X	measurement value	{float} {unit}	1	1	mole per liter per hour
microbial mat/biofilm	ammonium	ammonium	concentration of ammonium	X	measurement value	{float} {unit}	1	1	micromole per liter
microbial mat/biofilm	bacteria_carb_prod	bacterial carbon production	measurement of bacterial carbon production	X	measurement value	{float} {unit}	1	1	nanogram per hour
microbial mat/biofilm	biomass	biomass	amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements	X	biomass type;measurement value	{text};{float} {unit}	m	1	ton, kilogram, gram
microbial mat/biofilm	bishomohopanol	bishomohopanol	concentration of bishomohopanol 	X	measurement value	{float} {unit}	1	1	microgram per liter, microgram per gram
microbial mat/biofilm	bromide	bromide	concentration of bromide 	X	measurement value	{float} {unit}	1	1	parts per million
microbial mat/biofilm	calcium	calcium	concentration of calcium	X	measurement value	{float} {unit}	1	1	milligram per liter, micromole per liter, parts per million
microbial mat/biofilm	carb_nitro_ratio	carbon/nitrogen ratio	ratio of amount or concentrations of carbon to nitrogen	X	measurement value	{float} {unit}	1	1	
microbial mat/biofilm	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	1	
microbial mat/biofilm	chloride	chloride	concentration of chloride 	X	measurement value	{float} {unit}	1	1	milligram per liter
microbial mat/biofilm	chlorophyll	chlorophyll	concentration of chlorophyll	X	measurement value	{float} {unit}	1	1	milligram per cubic meter, microgram per liter
microbial mat/biofilm	diether_lipids	diether lipids	concentration of diether lipids; can include multiple types of diether lipids	X	diether lipid name;measurement value	{text};{float} {unit}	m	1	nanogram per liter
microbial mat/biofilm	diss_carb_dioxide	dissolved carbon dioxide	concentration of dissolved carbon dioxide	X	measurement value	{float} {unit}	1	1	micromole per liter
microbial mat/biofilm	diss_hydrogen	dissolved hydrogen	concentration of dissolved hydrogen	X	measurement value	{float} {unit}	1	1	micromole per liter
microbial mat/biofilm	diss_inorg_carb	dissolved inorganic carbon	dissolved inorganic carbon concentration	X	measurement value	{float} {unit}	1	1	microgram per liter
microbial mat/biofilm	diss_org_carb	dissolved organic carbon	concentration of dissolved organic carbon	X	measurement value	{float} {unit}	1	1	micromole per liter
microbial mat/biofilm	diss_org_nitro	dissolved organic nitrogen	dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2	X	measurement value	{float} {unit}	1	1	microgram per liter, milligram per liter
microbial mat/biofilm	diss_oxygen	dissolved oxygen	concentration of dissolved oxygen	X	measurement value	{float} {unit}	1	1	micromole per kilogram
microbial mat/biofilm	glucosidase_act	glucosidase activity	measurement of glucosidase activity	X	measurement value	{float} {unit}	1	1	mol per liter per hour
microbial mat/biofilm	magnesium	magnesium	concentration of magnesium	X	measurement value	{float} {unit}	1	1	mole per liter, milligram per liter, parts per million
microbial mat/biofilm	mean_frict_vel	mean friction velocity	measurement of mean friction velocity	X	measurement value	{float} {unit}	1	1	meter per second
microbial mat/biofilm	mean_peak_frict_vel	mean peak friction velocity	measurement of mean peak friction velocity	X	measurement value	{float} {unit}	1	1	meter per second
microbial mat/biofilm	methane	methane	methane (gas) amount or concentration at the time of sampling	X	measurement value	{float} {unit}	1	1	micromole per liter
microbial mat/biofilm	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	1	
microbial mat/biofilm	n_alkanes	n-alkanes	concentration of n-alkanes; can include multiple n-alkanes	X	n-alkane name;measurement value	{text};{float} {unit}	m	1	micromole per liter
microbial mat/biofilm	nitrate	nitrate	concentration of nitrate	X	measurement value	{float} {unit}	1	1	micromole per liter
microbial mat/biofilm	nitrite	nitrite	concentration of nitrite	X	measurement value	{float} {unit}	1	1	micromole per liter
microbial mat/biofilm	nitro	nitrogen	concentration of nitrogen (total)	X	measurement value	{float} {unit}	1	1	micromole per liter
microbial mat/biofilm	org_carb	organic carbon	concentration of organic carbon	X	measurement value	{float} {unit}	1	1	micromole per liter
microbial mat/biofilm	org_matter	organic matter	concentration of organic matter 	X	measurement value	{float} {unit}	1	1	microgram per liter
microbial mat/biofilm	org_nitro	organic nitrogen	concentration of organic nitrogen	X	measurement value	{float} {unit}	1	1	microgram per liter
microbial mat/biofilm	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	1	number of organism per cubic meter
microbial mat/biofilm	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	1	
microbial mat/biofilm	part_org_carb	particulate organic carbon	concentration of particulate organic carbon	X	measurement value	{float} {unit}	1	1	microgram per liter
microbial mat/biofilm	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	1	
microbial mat/biofilm	petroleum_hydrocarb	petroleum hydrocarbon	concentration of petroleum hydrocarbon	X	measurement value	{float} {unit}	1	1	micromole per liter
microbial mat/biofilm	ph	pH	pH measurement	X	measurement value	{float}	1	1	
microbial mat/biofilm	phaeopigments	phaeopigments	concentration of phaeopigments; can include multiple phaeopigments	X	phaeopigment name;measurement value	{text};{float} {unit}	m	1	milligram per cubic meter
microbial mat/biofilm	phosphate	phosphate	concentration of phosphate	X	measurement value	{float} {unit}	1	1	micromole per liter
microbial mat/biofilm	phosplipid_fatt_acid	phospholipid fatty acid	concentration of phospholipid fatty acids; can include multiple values	X	phospholipid fatty acid name;measurement value	{text};{float} {unit}	m	1	mole per gram, mole per liter
microbial mat/biofilm	potassium	potassium	concentration of potassium 	X	measurement value	{float} {unit}	1	1	parts per million
microbial mat/biofilm	pressure	pressure	pressure to which the sample is subject, in atmospheres	X	measurement value	{float} {unit}	1	1	atmosphere
microbial mat/biofilm	redox_potential	redox potential	redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential	X	measurement value	{float} {unit}	1	1	millivolt
microbial mat/biofilm	salinity	salinity	salinity measurement	X	measurement value	{float} {unit}	1	1	practical salinity unit, percentage
microbial mat/biofilm	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	1	
microbial mat/biofilm	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	1	
microbial mat/biofilm	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	1	degree Celsius
microbial mat/biofilm	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	1	millliter, gram, milligram
microbial mat/biofilm	silicate	silicate	concentration of silicate	X	measurement value	{float} {unit}	1	1	micromole per liter
microbial mat/biofilm	sodium	sodium	sodium concentration	X	measurement value	{float} {unit}	1	1	parts per million
microbial mat/biofilm	sulfate	sulfate	concentration of sulfate	X	measurement value	{float} {unit}	1	1	micromole per liter, milligram per liter
microbial mat/biofilm	sulfide	sulfide	concentration of sulfide	X	measurement value	{float} {unit}	1	1	micromole per liter, milligram per liter
microbial mat/biofilm	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	1	degree Celsius
microbial mat/biofilm	tot_carb	total carbon	total carbon content	X	measurement value	{float} {unit}	1	1	microgram per liter
microbial mat/biofilm	tot_nitro	total nitrogen	total nitrogen content of the sample	X	measurement value	{float} {unit}	1	1	microgram per liter, micromole per liter
microbial mat/biofilm	tot_org_carb	total organic carbon	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content	X	measurement value	{float} {unit}	1	1	gram Carbon per kilogram sample material
microbial mat/biofilm	turbidity	turbidity	turbidity measurement	X	measurement value	{float} {unit}	1	1	formazin turbidity unit, formazin nephelometric units
microbial mat/biofilm	water_content	water content	water content measurement	X	measurement value	{float} {unit}	1	1	gram per gram or cubic centimeter per cubic centimeter
miscellaneous natural or artificial environment	alt	altitude	the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air	C	measurement value	{float} m	1	0	meter
miscellaneous natural or artificial environment	depth	depth	depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples	C	measurement value	{float} m	1	0	
miscellaneous natural or artificial environment	elev	elevation	the elevation of the sampling site as measured by the vertical distance from mean sea level	C	measurement value	{float} {unit}	1	0	meter
miscellaneous natural or artificial environment	alkalinity	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	X	measurement value	{float} {unit}	1	1	milliequivalent per liter
miscellaneous natural or artificial environment	ammonium	ammonium	concentration of ammonium	X	measurement value	{float} {unit}	1	1	micromole per liter
miscellaneous natural or artificial environment	biomass	biomass	amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements	X	biomass type;measurement value	{text};{float} {unit}	m	1	ton, kilogram, gram
miscellaneous natural or artificial environment	bromide	bromide	concentration of bromide 	X	measurement value	{float} {unit}	1	1	parts per million
miscellaneous natural or artificial environment	calcium	calcium	concentration of calcium	X	measurement value	{float} {unit}	1	1	milligram per liter, micromole per liter, parts per million
miscellaneous natural or artificial environment	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	1	
miscellaneous natural or artificial environment	chloride	chloride	concentration of chloride 	X	measurement value	{float} {unit}	1	1	milligram per liter
miscellaneous natural or artificial environment	chlorophyll	chlorophyll	concentration of chlorophyll	X	measurement value	{float} {unit}	1	1	milligram per cubic meter, microgram per liter
miscellaneous natural or artificial environment	density	density	density of sample	X	measurement value	{float} {unit}	1	1	gram per cubic meter
miscellaneous natural or artificial environment	diether_lipids	diether lipids	concentration of diether lipids; can include multiple types of diether lipids	X	diether lipid name;measurement value	{text};{float} {unit}	m	1	nanogram per liter
miscellaneous natural or artificial environment	diss_carb_dioxide	dissolved carbon dioxide	concentration of dissolved carbon dioxide	X	measurement value	{float} {unit}	1	1	micromole per liter
miscellaneous natural or artificial environment	diss_hydrogen	dissolved hydrogen	concentration of dissolved hydrogen	X	measurement value	{float} {unit}	1	1	micromole per liter
miscellaneous natural or artificial environment	diss_inorg_carb	dissolved inorganic carbon	dissolved inorganic carbon concentration	X	measurement value	{float} {unit}	1	1	microgram per liter
miscellaneous natural or artificial environment	diss_org_nitro	dissolved organic nitrogen	dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2	X	measurement value	{float} {unit}	1	1	microgram per liter, milligram per liter
miscellaneous natural or artificial environment	diss_oxygen	dissolved oxygen	concentration of dissolved oxygen	X	measurement value	{float} {unit}	1	1	micromole per kilogram
miscellaneous natural or artificial environment	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	1	
miscellaneous natural or artificial environment	nitrate	nitrate	concentration of nitrate	X	measurement value	{float} {unit}	1	1	micromole per liter
miscellaneous natural or artificial environment	nitrite	nitrite	concentration of nitrite	X	measurement value	{float} {unit}	1	1	micromole per liter
miscellaneous natural or artificial environment	nitro	nitrogen	concentration of nitrogen (total)	X	measurement value	{float} {unit}	1	1	micromole per liter
miscellaneous natural or artificial environment	org_carb	organic carbon	concentration of organic carbon	X	measurement value	{float} {unit}	1	1	micromole per liter
miscellaneous natural or artificial environment	org_matter	organic matter	concentration of organic matter 	X	measurement value	{float} {unit}	1	1	microgram per liter
miscellaneous natural or artificial environment	org_nitro	organic nitrogen	concentration of organic nitrogen	X	measurement value	{float} {unit}	1	1	microgram per liter
miscellaneous natural or artificial environment	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	1	number of organism per cubic meter
miscellaneous natural or artificial environment	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	1	
miscellaneous natural or artificial environment	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	1	
miscellaneous natural or artificial environment	ph	pH	pH measurement	X	measurement value	{float}	1	1	
miscellaneous natural or artificial environment	phosphate	phosphate	concentration of phosphate	X	measurement value	{float} {unit}	1	1	micromole per liter
miscellaneous natural or artificial environment	phosplipid_fatt_acid	phospholipid fatty acid	concentration of phospholipid fatty acids; can include multiple values	X	phospholipid fatty acid name;measurement value	{text};{float} {unit}	m	1	mole per gram, mole per liter
miscellaneous natural or artificial environment	potassium	potassium	concentration of potassium 	X	measurement value	{float} {unit}	1	1	parts per million
miscellaneous natural or artificial environment	pressure	pressure	pressure to which the sample is subject, in atmospheres	X	measurement value	{float} {unit}	1	1	atmosphere
miscellaneous natural or artificial environment	salinity	salinity	salinity measurement	X	measurement value	{float} {unit}	1	1	practical salinity unit, percentage
miscellaneous natural or artificial environment	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	1	
miscellaneous natural or artificial environment	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	1	
miscellaneous natural or artificial environment	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	1	degree Celsius
miscellaneous natural or artificial environment	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	1	millliter, gram, milligram
miscellaneous natural or artificial environment	silicate	silicate	concentration of silicate	X	measurement value	{float} {unit}	1	1	micromole per liter
miscellaneous natural or artificial environment	sodium	sodium	sodium concentration	X	measurement value	{float} {unit}	1	1	parts per million
miscellaneous natural or artificial environment	sulfate	sulfate	concentration of sulfate	X	measurement value	{float} {unit}	1	1	micromole per liter, milligram per liter
